text,label
"resume: Skilled in julia, ruby, keras, Data Analyst, BS in Engineering, contributed to data-driven projects, Optimized julia workflows, 1 year experience [sep] job: Software Engineer: julia, 1 year+",1
"resume: Expert in scala, Cloud Architect, BEng in Computer Science, designed applications with, Developed scala models, senior experience, Certified Kubernetes Administrator [sep] job: Data Analyst: pandas, mongodb, plotly, snowflake, kotlin, gcp, 2 years+",0
"resume: Expert in api, snowflake, agile methodologies, matplotlib, airflow, Machine Learning Engineer, BA in Engineering, optimized workflows for, Led snowflake projects, Built agile methodologies pipelines, Built api pipelines, 5 years experience, Certified Kubernetes Administrator [sep] job: Cloud Architect: api, 3 years+",1
"resume: Skilled in power bi, redis, mysql, keras, typescript, Cloud Architect, MEng in Statistics, led projects involving, Built mysql pipelines, Developed mysql models, 4 years experience, Tableau Desktop Specialist [sep] job: Data Scientist: aws, postgresql, pytorch, 1 year+",0
"resume: Experienced in docker, business intelligence, scikit learn, gitlab ci, hadoop, nlp, Backend Developer, MEng in Statistics, collaborated in agile teams, Built docker pipelines, Led business intelligence projects, Led nlp projects, 4 years experience, Google Cloud Professional Data Engineer, in a team of 5 engineers [sep] job: DevOps Engineer: scikit learn, spark, business intelligence, docker, 1 year+",1
"resume: Versed in mongodb, sql, xgboost, terraform, qlik, hadoop, DevOps Engineer, MS in Data Science, developed solutions for, Developed qlik models, Led terraform projects, Optimized mongodb workflows, senior experience, AWS Certified Developer [sep] job: Cloud Architect: sql, xgboost, pandas, mongodb, 3 years+",1
"resume: Proficient in customer service, operations management, sales, teaching, Backend Developer, BA in Statistics, implemented data pipelines for, Led teaching projects, Optimized sales workflows, Optimized teaching workflows, senior experience, AWS Certified Developer, in a team of 5 engineers [sep] job: Data Analyst: looker, neo4j, python, pytorch, ansible, spark, 5 years+",0
"resume: Skilled in matplotlib, javascript, data analysis, typescript, r, cassandra, Cloud Architect, MBA, developed solutions for, Developed cassandra models, 5 years experience, Certified Kubernetes Administrator [sep] job: Backend Developer: matplotlib, javascript, typescript, senior+",1
"resume: Proficient in hadoop, cybersecurity, scikit learn, aws, Data Analyst, MBA, developed solutions for, Built cybersecurity pipelines, Built scikit learn pipelines, 4 years experience, Tableau Desktop Specialist [sep] job: Software Engineer: javascript, azure, ruby, 4 years+",0
"resume: Expert in neo4j, tensorflow, business intelligence, ansible, keras, Data Analyst, MBA, collaborated in agile teams, Led business intelligence projects, 5 years experience, Microsoft Azure Data Scientist [sep] job: Backend Developer: neo4j, for data-driven projects, senior+",1
"resume: Skilled in machine learning, airflow, agile methodologies, keras, seaborn, Cloud Architect, MEng in Computer Science, implemented data pipelines for, Built keras pipelines, Led seaborn projects, 4 years experience, AWS Certified Developer [sep] job: Software Engineer: redis, blockchain, scikit learn, plotly, kafka, python, 4 years+",0
"resume: Experienced in deep learning, business intelligence, power bi, looker, rust, Software Engineer, MBA, designed applications with, Optimized business intelligence workflows, 1 year experience, integrating REST APIs [sep] job: Cloud Architect: deep learning, with focus on cloud technologies, 1 year+",1
"resume: Versed in snowflake, deep learning, Machine Learning Engineer, MS in Statistics, developed solutions for, Developed deep learning models, Optimized deep learning workflows, senior experience [sep] job: Software Engineer: snowflake, 1 year+",1
"resume: Trained in business intelligence, rest, Cloud Architect, MBA, designed applications with, Led business intelligence projects, Developed business intelligence models, 5 years experience, AWS Certified Developer, using tools like Jupyter and VS Code [sep] job: Data Analyst: typescript, cassandra, terraform, azure, rest, senior+",0
"resume: Specialized in graphic design, legal, teaching, human resources, sql, plotly, Cloud Architect, MBA, designed applications with, Developed teaching models, Optimized sql workflows, 4 years experience, Tableau Desktop Specialist [sep] job: Data Analyst: cassandra, api, c++, bigquery, business intelligence, 5 years+",0
"resume: Proficient in healthcare admin, business development, xgboost, rest, Backend Developer, MEng in Statistics, built machine learning models for, Built xgboost pipelines, 5 years experience [sep] job: Data Analyst: kubernetes, airflow, seaborn, 3 years+",0
"resume: Accomplished in azure, airflow, julia, blockchain, c++, langchain, Backend Developer, BS in Statistics, optimized workflows for, 2 years experience, Tableau Desktop Specialist [sep] job: DevOps Engineer: looker, plotly, 3 years+",0
"resume: Accomplished in ggplot, jenkins, spark, computer vision, mongodb, ansible, DevOps Engineer, MBA, developed solutions for, Led jenkins projects, senior experience, Google Cloud Professional Data Engineer [sep] job: Data Scientist: mysql, go, c++, scala, quantum computing, langchain, tableau, pandas, 2 years+",0
"resume: Accomplished in langchain, pandas, aws, postgresql, blockchain, Backend Developer, MS in Data Science, deployed cloud-based solutions, Led blockchain projects, Developed postgresql models, senior experience, integrating REST APIs [sep] job: Machine Learning Engineer: langchain, senior+",1
"resume: Trained in python, plotly, computer vision, Data Scientist, BEng in Statistics, 2 years experience, using tools like Jupyter and VS Code [sep] job: Backend Developer: python, 2 years+",1
"resume: Trained in human resources, business development, Backend Developer, BA in Engineering, developed solutions for, 2 years experience, AWS Certified Developer [sep] job: DevOps Engineer: business intelligence, scala, 4 years+",0
"resume: Versed in r, machine learning, Machine Learning Engineer, MEng in Engineering, implemented data pipelines for, Optimized machine learning workflows, Developed r models, 5 years experience, AWS Certified Developer [sep] job: Data Analyst: r, senior+",1
"resume: Versed in d3 js, pandas, mongodb, python, Data Analyst, MBA, developed solutions for, Led python projects, Developed d3 js models, 4 years experience, Microsoft Azure Data Scientist, with cloud-native architectures [sep] job: Cloud Architect: d3 js, 3 years+",1
"resume: Trained in api, julia, xgboost, pandas, aws, spark, machine learning, hugging face, Cloud Architect, MBA, implemented data pipelines for, Developed hugging face models, senior experience, Certified Kubernetes Administrator, for global enterprise clients [sep] job: Data Scientist: scikit learn, pandas, tensorflow, julia, spark, xgboost, api, 3 years+",1
"resume: Trained in tableau, azure, mongodb, Machine Learning Engineer, MEng in Data Science, optimized workflows for, Optimized mongodb workflows, Developed mongodb models, senior experience, Google Cloud Professional Data Engineer [sep] job: DevOps Engineer: tableau, senior+",1
"resume: Expert in legal, graphic design, marketing, Data Analyst, High School Diploma, 1 year experience [sep] job: DevOps Engineer: deep learning, git, mongodb, linux, 3 years+",0
"resume: Skilled in postgresql, api, deep learning, python, Backend Developer, MS in Engineering, deployed cloud-based solutions, Built postgresql pipelines, Led postgresql projects, Built deep learning pipelines, 5 years experience, AWS Certified Developer [sep] job: Backend Developer: postgresql, api, machine learning, aws, 2 years+",1
"resume: Experienced in retail management, human resources, DevOps Engineer, BEng in Computer Science, Developed retail management models, Built human resources pipelines, 5 years experience, Google Cloud Professional Data Engineer [sep] job: Software Engineer: cybersecurity, aws, data analysis, senior+",0
"resume: Versed in customer service, human resources, Data Scientist, High School Diploma, led projects involving, Built customer service pipelines, 1 year experience, Microsoft Azure Data Scientist, with cloud-native architectures [sep] job: Machine Learning Engineer: ruby, scala, postgresql, snowflake, plotly, 2 years+",0
"resume: Skilled in computer vision, javascript, api, linux, onnx, machine learning, azure, Machine Learning Engineer, BEng in Information Technology, built machine learning models for, 2 years experience, Google Cloud Professional Data Engineer, with cloud-native architectures [sep] job: Backend Developer: neo4j, gitlab ci, ruby, sql, plotly, for data-driven projects, 2 years+",0
"resume: Skilled in rust, qlik, customer service, Data Scientist, MS in Data Science, Optimized qlik workflows, senior experience, Certified Kubernetes Administrator, in a team of 5 engineers [sep] job: Machine Learning Engineer: tableau, data analysis, to build scalable solutions, 3 years+",0
"resume: Accomplished in cybersecurity, operations management, python, pytorch, Backend Developer, BA in Information Technology, designed applications with, Led pytorch projects, 4 years experience [sep] job: Backend Developer: tensorflow, keras, terraform, aws, machine learning, hugging face, senior+",0
"resume: Proficient in graphic design, healthcare admin, mysql, hugging face, Machine Learning Engineer, MS in Data Science, contributed to data-driven projects, Led healthcare admin projects, Optimized hugging face workflows, Built mysql pipelines, senior experience, Microsoft Azure Data Scientist, leveraging agile methodologies [sep] job: Machine Learning Engineer: tensorflow, xgboost, for data-driven projects, 2 years+",0
"resume: Proficient in retail management, social work, snowflake, Cloud Architect, MEng in Data Science, led projects involving, Developed snowflake models, senior experience, AWS Certified Developer, integrating REST APIs [sep] job: Machine Learning Engineer: business intelligence, neo4j, ansible, snowflake, senior+",0
"resume: Skilled in julia, blockchain, Data Scientist, Diploma in Data Science, implemented data pipelines for, Developed blockchain models, senior experience, Google Cloud Professional Data Engineer [sep] job: Data Scientist: julia, senior+",1
"resume: Experienced in retail management, healthcare admin, looker, d3 js, Backend Developer, BA in Data Science, implemented data pipelines for, Developed looker models, 2 years experience, Certified Kubernetes Administrator [sep] job: Data Analyst: data analysis, spark, terraform, hadoop, bigquery, python, 5 years+",0
"resume: Versed in rust, git, mongodb, quantum computing, seaborn, julia, Machine Learning Engineer, MEng in Engineering, led projects involving, Optimized rust workflows, Optimized quantum computing workflows, 4 years experience, Certified Kubernetes Administrator [sep] job: Data Analyst: git, blockchain, mongodb, kubernetes, rust, 4 years+",1
"resume: Versed in onnx, hugging face, git, kubernetes, neo4j, Cloud Architect, Doctor of Information Technology, optimized workflows for, Optimized neo4j workflows, Developed neo4j models, 5 years experience, Microsoft Azure Data Scientist [sep] job: DevOps Engineer: neo4j, onnx, in a fast-paced environment, senior+",1
"resume: Experienced in plotly, hugging face, kubernetes, rust, d3 js, postgresql, Machine Learning Engineer, MEng in Data Science, developed solutions for, Developed postgresql models, Developed kubernetes models, Developed plotly models, 4 years experience, Microsoft Azure Data Scientist, using tools like Jupyter and VS Code [sep] job: Data Analyst: plotly, postgresql, hugging face, snowflake, 4 years+",1
"resume: Accomplished in redis, cassandra, azure, Data Scientist, MS in Information Technology, developed solutions for, Led cassandra projects, Developed cassandra models, Built azure pipelines, 4 years experience [sep] job: Cloud Architect: airflow, postgresql, computer vision, 1 year+",0
"resume: Specialized in teaching, healthcare admin, finance, ruby, kafka, Data Analyst, MS in Information Technology, collaborated in agile teams, Led kafka projects, senior experience, Microsoft Azure Data Scientist [sep] job: Data Scientist: r, airflow, hugging face, aws, azure, terraform, 2 years+",0
"resume: Trained in aws, plotly, pytorch, keras, Machine Learning Engineer, MBA, built machine learning models for, Built pytorch pipelines, Developed keras models, Developed aws models, senior experience [sep] job: Backend Developer: aws, 2 years+",1
"resume: Specialized in business development, operations management, ansible, seaborn, Software Engineer, MEng in Information Technology, contributed to data-driven projects, Developed ansible models, Led business development projects, 4 years experience, for global enterprise clients [sep] job: Data Analyst: python, mongodb, senior+",0
"resume: Versed in git, retail management, kotlin, java, tensorflow, pytorch, Machine Learning Engineer, BA in Data Science, developed solutions for, Optimized pytorch workflows, 3 years experience, AWS Certified Developer [sep] job: Data Analyst: seaborn, d3 js, quantum computing, 5 years+",0
"resume: Specialized in machine learning, spark, looker, Data Analyst, MBA, deployed cloud-based solutions, Optimized spark workflows, senior experience, Tableau Desktop Specialist [sep] job: Cloud Architect: machine learning, 1 year+",1
"resume: Specialized in seaborn, jenkins, Software Engineer, MBA, led projects involving, Led seaborn projects, Led jenkins projects, senior experience [sep] job: Cloud Architect: scala, ggplot, azure, jenkins, langchain, senior+",0
"resume: Specialized in business development, operations management, healthcare admin, aws, Backend Developer, MBA, built machine learning models for, Developed aws models, Led business development projects, 4 years experience, Certified Kubernetes Administrator [sep] job: DevOps Engineer: gitlab ci, kotlin, senior+",0
"resume: Proficient in marketing, graphic design, sales, machine learning, Cloud Architect, MEng in Information Technology, contributed to data-driven projects, Developed sales models, senior experience, Google Cloud Professional Data Engineer, integrating REST APIs [sep] job: DevOps Engineer: c++, computer vision, r, qlik, linux, senior+",0
"resume: Specialized in legal, Machine Learning Engineer, MEng in Computer Science, built machine learning models for, Led legal projects, Built legal pipelines, 3 years experience, AWS Certified Developer, for global enterprise clients [sep] job: Data Scientist: gcp, machine learning, aws, javascript, kafka, 4 years+",0
"resume: Skilled in mysql, python, azure, java, kafka, Machine Learning Engineer, Certificate in Engineering, Optimized azure workflows, Built mysql pipelines, 4 years experience, AWS Certified Developer [sep] job: DevOps Engineer: mysql, senior+",1
"resume: Specialized in snowflake, julia, keras, rest, Data Scientist, MBA, built machine learning models for, Led julia projects, 5 years experience [sep] job: Machine Learning Engineer: snowflake, keras, in a fast-paced environment, 3 years+",1
"resume: Skilled in legal, retail management, sales, julia, Data Scientist, MEng in Computer Science, led projects involving, Developed julia models, 3 years experience, Tableau Desktop Specialist [sep] job: Data Scientist: aws, xgboost, langchain, gcp, postgresql, for data-driven projects, 4 years+",0
"resume: Proficient in airflow, seaborn, postgresql, cassandra, redis, scala, Data Analyst, MEng in Data Science, led projects involving, Developed postgresql models, Led postgresql projects, Led postgresql projects, 5 years experience [sep] job: Machine Learning Engineer: airflow, seaborn, redis, 3 years+",1
"resume: Versed in retail management, social work, project management, git, DevOps Engineer, BA in Engineering, developed solutions for, Built project management pipelines, 3 years experience, Certified Kubernetes Administrator, with cloud-native architectures [sep] job: Data Scientist: spark, pandas, go, aws, julia, 5 years+",0
"resume: Specialized in bigquery, docker, pandas, customer service, java, Data Analyst, BA in Statistics, optimized workflows for, Led pandas projects, Developed docker models, Developed customer service models, 5 years experience, Microsoft Azure Data Scientist [sep] job: Software Engineer: pandas, neo4j, senior+",0
"resume: Skilled in gitlab ci, Backend Developer, Doctor of Computer Science, optimized workflows for, Built gitlab ci pipelines, Developed gitlab ci models, senior experience [sep] job: Data Analyst: gitlab ci, for data-driven projects, 3 years+",1
"resume: Accomplished in d3 js, tableau, neo4j, Backend Developer, MBA, contributed to data-driven projects, Optimized neo4j workflows, Developed d3 js models, Led tableau projects, senior experience [sep] job: Cloud Architect: d3 js, 3 years+",1
"resume: Trained in cassandra, ansible, quantum computing, r, kubernetes, Data Scientist, MBA, built machine learning models for, Built quantum computing pipelines, 4 years experience [sep] job: Machine Learning Engineer: r, quantum computing, ansible, qlik, cassandra, kubernetes, 3 years+",1
"resume: Trained in langchain, julia, Cloud Architect, MBA, Optimized langchain workflows, Built langchain pipelines, 3 years experience, Microsoft Azure Data Scientist [sep] job: Cloud Architect: langchain, 3 years+",1
"resume: Versed in healthcare admin, social work, human resources, customer service, Data Scientist, Doctor of Computer Science, implemented data pipelines for, Built healthcare admin pipelines, Optimized customer service workflows, Built customer service pipelines, 5 years experience, Certified Kubernetes Administrator [sep] job: DevOps Engineer: quantum computing, julia, deep learning, aws, r, 2 years+",0
"resume: Trained in gcp, ruby, postgresql, scala, scikit learn, Data Analyst, BEng in Computer Science, developed solutions for, Led postgresql projects, Led scala projects, Developed postgresql models, senior experience, Microsoft Azure Data Scientist [sep] job: Machine Learning Engineer: gcp, 2 years+",1
"resume: Trained in operations management, social work, marketing, event planning, Machine Learning Engineer, BS in Statistics, deployed cloud-based solutions, 2 years experience [sep] job: Machine Learning Engineer: matplotlib, d3 js, pandas, kotlin, power bi, gitlab ci, requires expertise in, 1 year+",0
"resume: Skilled in kotlin, aws, java, javascript, Data Scientist, Certificate in Computer Science, developed solutions for, Optimized java workflows, 4 years experience, Google Cloud Professional Data Engineer [sep] job: Data Scientist: kotlin, senior+",1
"resume: Proficient in javascript, rust, tableau, computer vision, kubernetes, gitlab ci, project management, Backend Developer, MEng in Information Technology, designed applications with, Led computer vision projects, Optimized rust workflows, 5 years experience, Tableau Desktop Specialist [sep] job: Machine Learning Engineer: tableau, kubernetes, javascript, ruby, rust, 3 years+",1
"resume: Trained in langchain, cybersecurity, jenkins, gcp, typescript, Data Analyst, MEng in Data Science, implemented data pipelines for, Developed jenkins models, Optimized jenkins workflows, 5 years experience, Certified Kubernetes Administrator [sep] job: Software Engineer: langchain, in a fast-paced environment, 3 years+",1
"resume: Specialized in cassandra, java, api, tensorflow, power bi, snowflake, gitlab ci, rest, Data Analyst, MBA, collaborated in agile teams, Led api projects, 5 years experience, Microsoft Azure Data Scientist, in a team of 5 engineers [sep] job: Backend Developer: jenkins, power bi, hadoop, api, cassandra, tensorflow, java, 5 years+",1
"resume: Trained in marketing, graphic design, healthcare admin, Backend Developer, Certificate in Data Science, designed applications with, Built healthcare admin pipelines, Led marketing projects, 3 years experience [sep] job: Machine Learning Engineer: python, qlik, 1 year+",0
"resume: Accomplished in hadoop, postgresql, airflow, agile methodologies, Cloud Architect, PhD in Computer Science, implemented data pipelines for, Built agile methodologies pipelines, Built airflow pipelines, Led postgresql projects, 4 years experience, Tableau Desktop Specialist [sep] job: Backend Developer: hadoop, 4 years+",1
"resume: Skilled in human resources, business development, customer service, blockchain, Machine Learning Engineer, MEng in Information Technology, designed applications with, Led blockchain projects, 5 years experience, Tableau Desktop Specialist [sep] job: Machine Learning Engineer: jenkins, d3 js, 5 years+",0
"resume: Experienced in gcp, seaborn, postgresql, julia, Data Scientist, BEng in Information Technology, optimized workflows for, Built julia pipelines, Developed gcp models, 5 years experience, Microsoft Azure Data Scientist, for global enterprise clients [sep] job: Data Scientist: linux, azure, gcp, seaborn, senior+",1
"resume: Specialized in java, azure, qlik, typescript, langchain, communication, go, sql, Backend Developer, MS in Computer Science, built machine learning models for, Built typescript pipelines, 5 years experience, Microsoft Azure Data Scientist [sep] job: DevOps Engineer: langchain, typescript, java, seaborn, azure, qlik, 5 years+",1
"resume: Specialized in human resources, social work, Backend Developer, Certificate in Statistics, built machine learning models for, Developed social work models, 2 years experience, Google Cloud Professional Data Engineer [sep] job: Software Engineer: matplotlib, linux, scala, requires expertise in, 5 years+",0
"resume: Experienced in mysql, business intelligence, langchain, jenkins, git, java, Machine Learning Engineer, Doctor of Computer Science, deployed cloud-based solutions, Built jenkins pipelines, 4 years experience, Tableau Desktop Specialist [sep] job: Machine Learning Engineer: jenkins, java, mysql, langchain, julia, business intelligence, senior+",1
"resume: Expert in javascript, langchain, tensorflow, DevOps Engineer, BS in Data Science, led projects involving, Built langchain pipelines, 5 years experience [sep] job: Data Scientist: javascript, 5 years+",1
"resume: Specialized in business development, sales, project management, DevOps Engineer, MS in Engineering, developed solutions for, Built sales pipelines, 4 years experience [sep] job: Data Scientist: looker, 5 years+",0
"resume: Versed in terraform, nlp, aws, docker, Software Engineer, MS in Information Technology, built machine learning models for, Built nlp pipelines, 5 years experience, Tableau Desktop Specialist [sep] job: DevOps Engineer: java, pandas, 3 years+",0
